model,baseline_auc,tuned_auc,auc_gain,baseline_logloss,tuned_logloss,logloss_reduction,baseline_brier,tuned_brier,brier_reduction,baseline_profit,tuned_profit,profit_gain
logistic_regression,0.801,0.8016,0.0006,0.5206,0.5203,0.0003,0.1637,0.1638,-0.0001,32560,108325.0,75765.0
random_forest,0.7683,0.8106,0.0422,0.5118,0.4749,0.0369,0.0874,0.1464,-0.059,-64395,108265.0,172660.0
xgboost,0.7744,0.8117,0.0373,0.4452,0.4963,-0.0511,0.1364,0.1555,-0.019,11590,107855.0,96265.0
knn,0.7592,0.7753,0.0161,1.0222,0.4074,0.6148,0.0867,0.0815,0.0052,-66580,67715.0,134295.0
